date,high,low,opening_price,closing_price,volume
15-11-11 0:00,7,6.7,7,6.8,155000
14-11-11 0:00,7.1,6.9,7,6.9,254000
13-11-11 0:00,7.3,7.1,7.1,7.2,92500
03-11-11 0:00,7.4,7.2,7.3,7.2,135500
02-11-11 0:00,7.6,7.3,7.5,7.3,157000
01-11-11 0:00,7.5,7.2,7.4,7.4,137000
31-10-11 0:00,7.3,7,7,7.1,87500
30-10-11 0:00,7.5,7,7.3,7.1,187500
27-10-11 0:00,7.5,7.3,7.4,7.3,140000
26-10-11 0:00,7.6,7.4,7.6,7.4,187500
25-10-11 0:00,7.7,7.5,7.6,7.6,137500
24-10-11 0:00,7.9,7.6,7.7,7.6,175000
23-10-11 0:00,8.1,7.7,7.7,7.8,246000
20-10-11 0:00,8,7.6,7.7,7.8,239500
19-10-11 0:00,7.7,7.3,7.4,7.6,117500
18-10-11 0:00,7.7,7.5,7.6,7.5,89500
17-10-11 0:00,7.8,7.4,7.6,7.7,261000
16-10-11 0:00,7.9,7.5,7.9,7.6,75500
13-10-11 0:00,8,7.7,7.8,7.8,120500
12-10-11 0:00,7.5,7.1,7.2,7.4,149000
11-10-11 0:00,7.9,7.4,7.7,7.4,209000
10-10-11 0:00,7.8,7.6,7.7,7.7,125000
09-10-11 0:00,7.8,7.7,7.8,7.7,211000
05-10-11 0:00,7.9,7.7,7.9,7.8,102000
04-10-11 0:00,7.9,7.7,7.7,7.7,212000
03-10-11 0:00,7.9,7.7,7.9,7.7,335500
02-10-11 0:00,8,7.9,7.9,7.9,120000
29-09-11 0:00,8,7.8,8,7.8,172500
28-09-11 0:00,8,7.8,8,7.9,206500
27-09-11 0:00,8.1,7.9,8.1,8,250000
26-09-11 0:00,8.2,7.9,8,8.1,367000
25-09-11 0:00,8,7.8,7.9,7.9,166500
22-09-11 0:00,8.1,7.6,7.8,7.9,339000
21-09-11 0:00,8,7.8,7.9,7.8,138500
20-09-11 0:00,8.1,7.9,8,7.9,81000
19-09-11 0:00,8,7.9,8,7.9,313500
18-09-11 0:00,8.2,7.9,8.2,7.9,284500
15-09-11 0:00,8.2,8,8,8,157500
14-09-11 0:00,8.2,8,8.2,8,160500
13-09-11 0:00,8.2,8,8.1,8,153500
12-09-11 0:00,8.1,7.9,8.1,7.9,289000
11-09-11 0:00,8.1,8,8.1,8,282000
08-09-11 0:00,8.2,8,8.1,8,208500
07-09-11 0:00,8.2,8,8,8.1,193500
06-09-11 0:00,8.2,8,8,8,203000
05-09-11 0:00,8.2,8,8,8,420500
04-09-11 0:00,8.2,8.1,8.2,8.1,135500
25-08-11 0:00,8.3,8.1,8.3,8.2,157000
24-08-11 0:00,8.2,8,8.1,8.1,265000
23-08-11 0:00,8.3,8.1,8.2,8.1,549500
21-08-11 0:00,0,0,9,9,0
18-08-11 0:00,9.1,8.9,8.9,9,451500
17-08-11 0:00,8.9,8.8,8.9,8.8,350500
16-08-11 0:00,9,8.8,8.9,8.9,164000
14-08-11 0:00,9.1,8.8,8.9,8.8,300500
11-08-11 0:00,9.1,8.4,8.9,9,718500
10-08-11 0:00,9.1,8.9,9.1,9,379500
09-08-11 0:00,9.2,9.1,9.2,9.1,543000
08-08-11 0:00,9.5,9.2,9.4,9.2,1167000
07-08-11 0:00,9.7,8.9,9.6,9.1,290000
04-08-11 0:00,9.8,9.1,9.5,9.2,996500
03-08-11 0:00,9.8,9.3,9.8,9.5,608000
02-08-11 0:00,10.1,9.3,9.5,9.3,1102000
01-08-11 0:00,9.9,9.5,9.6,9.5,385500
31-07-11 0:00,10.1,9.6,10,9.6,1400000
28-07-11 0:00,10.3,9.9,10.1,10.1,1787000
27-07-11 0:00,10.2,9.8,9.9,10.1,1902500
26-07-11 0:00,10.2,9.8,10,9.9,1545000
25-07-11 0:00,10.2,9.9,10.1,10,1949500
24-07-11 0:00,10.3,9.9,10.1,10,1498000
21-07-11 0:00,10.3,9.8,9.8,10.1,2112500
20-07-11 0:00,10,9.7,9.8,9.9,1535000
19-07-11 0:00,10.1,9.7,10,9.7,1091500
17-07-11 0:00,9.9,9.6,9.7,9.8,1131500
14-07-11 0:00,10.5,9.9,10.5,9.9,1607500
13-07-11 0:00,10.3,9.5,9.5,10.2,3398000
12-07-11 0:00,9.5,9.2,9.3,9.4,1268000
11-07-11 0:00,9.3,8.9,9.1,9.2,1006000
10-07-11 0:00,9.4,9.1,9.2,9.2,1207000
07-07-11 0:00,9.4,8.9,9,9.1,1159000
06-07-11 0:00,9.2,8.6,8.6,9,1390500
05-07-11 0:00,8.8,8.6,8.8,8.6,374500
04-07-11 0:00,9,8.7,8.8,8.7,339500
03-07-11 0:00,9.1,8.5,8.5,8.9,881500
30-06-11 0:00,8.7,8.4,8.4,8.6,821000
29-06-11 0:00,8.7,8.4,8.7,8.4,504000
28-06-11 0:00,8.7,8.2,8.3,8.5,708500
27-06-11 0:00,8.3,8.1,8.1,8.2,497500
26-06-11 0:00,8.3,8.1,8.1,8.2,342000
23-06-11 0:00,8.3,8.1,8.1,8.1,157500
22-06-11 0:00,8.2,8.1,8.1,8.2,219500
21-06-11 0:00,8.3,8.1,8.2,8.1,158500
20-06-11 0:00,8.2,8.1,8.1,8.1,169500
19-06-11 0:00,8.3,8,8.2,8,304500
16-06-11 0:00,8.3,8.2,8.3,8.2,179500
15-06-11 0:00,8.4,8.2,8.4,8.2,273500
14-06-11 0:00,8.4,8.2,8.3,8.3,195500
13-06-11 0:00,8.4,8.2,8.2,8.3,398000
12-06-11 0:00,8.3,8.1,8.3,8.1,438500
09-06-11 0:00,8.5,8.3,8.4,8.3,208000
08-06-11 0:00,8.7,8.2,8.3,8.4,748500
07-06-11 0:00,8.4,8.2,8.2,8.3,360000
06-06-11 0:00,8.3,8.1,8.2,8.2,326000
05-06-11 0:00,8.4,8.2,8.4,8.2,275500
02-06-11 0:00,8.3,8.2,8.2,8.2,145000
01-06-11 0:00,8.4,8.2,8.4,8.2,447000
31-05-11 0:00,8.5,8,8.2,8.4,603500
30-05-11 0:00,8.3,8.1,8.2,8.2,388500
